CD_GEOCODD;NM_DISTRIT;CD_GEOCODM;NM_MUNICIP;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGOR;NM_CATEGOR;NM_LOCALID;LONG;LAT;ALT;GMRotation
110001505;ALTA FLORESTA D'OESTE;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;ALTA FLORESTA D'OESTE;-61,999824;-11,935540;337,73572;0,00000
110002305;ARIQUEMES;1100023;ARIQUEMES;ARIQUEMES;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;ARIQUEMES;-63,033269;-9,908463;138,68898;0,00000
110003105;CABIXI;1100031;CABIXI;COLORADO DO OESTE;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;CABIXI;-60,544314;-13,499763;236,06316;0,00000
110004905;CACOAL;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;CACOAL;-61,442944;-11,433865;177,45355;0,00000
110005605;CEREJEIRAS;1100056;CEREJEIRAS;COLORADO DO OESTE;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;CEREJEIRAS;-60,818426;-13,195033;262,81131;0,00000
110006405;COLORADO DO OESTE;1100064;COLORADO DO OESTE;COLORADO DO OESTE;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;COLORADO DO OESTE;-60,555067;-13,130564;419,09061;0,00000
110007205;CORUMBIARA;1100072;CORUMBIARA;COLORADO DO OESTE;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;CORUMBIARA;-60,948701;-12,997520;269,17118;0,00000
110008005;COSTA MARQUES;1100080;COSTA MARQUES;GUAJAR?-MIRIM;MADEIRA-GUAPOR?;ROND»NIA;1;05;CIDADE;COSTA MARQUES;-64,231654;-12,436014;145,21390;0,00000
110009805;ESPIG?O D'OESTE;1100098;ESPIG?O D'OESTE;CACOAL;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;ESPIG?O D'OESTE;-61,020173;-11,528555;262,52723;0,00000
110010605;GUAJAR?-MIRIM;1100106;GUAJAR?-MIRIM;GUAJAR?-MIRIM;MADEIRA-GUAPOR?;ROND»NIA;1;05;CIDADE;GUAJAR?-MIRIM;-65,323952;-10,773884;133,41438;0,00000
110011405;JARU;1100114;JARU;JI-PARAN?;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;JARU;-62,476231;-10,435949;162,55133;0,00000
110012205;JI-PARAN?;1100122;JI-PARAN?;JI-PARAN?;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;JI-PARAN?;-61,945095;-10,882051;157,26267;0,00000
110013005;MACHADINHO D'OESTE;1100130;MACHADINHO D'OESTE;ARIQUEMES;LESTE RONDONIENSE;ROND»NIA;1;05;CIDADE;MACHADINHO D'OESTE;-61,999593;-9,425562;144,19909;0,00000
