,ano_ingresso,situacao,qtd
0,2010,tot_ingressantes,2573449.0
1,2010,tot_desistentes,1531068.8890025946
2,2010,tot_concluintes,1019203.1796628321
3,2011,tot_ingressantes,2575011.0
4,2011,tot_desistentes,1506621.569670801
5,2011,tot_concluintes,1029354.3938958349
6,2012,tot_ingressantes,2899850.0
7,2012,tot_desistentes,1696596.187160856
8,2012,tot_concluintes,1134479.9431315863
9,2013,tot_ingressantes,2937154.0
10,2013,tot_desistentes,1655009.2885990932
11,2013,tot_concluintes,1155583.092700935
12,2014,tot_ingressantes,3179187.0
13,2014,tot_desistentes,1801329.0542679254
14,2014,tot_concluintes,1109330.5575843109
15,2015,tot_ingressantes,3031853.0
16,2015,tot_desistentes,1648304.6090954952
17,2015,tot_concluintes,849985.5081239477
